Date,Open,High,Low,Close,Volume
11/10/2025,"195.11","199.94","193.79","199.05","198,897,109"
11/07/2025,"184.90","188.32","178.91","188.15","264,942,312"
11/06/2025,"196.42","197.62","186.38","188.08","223,029,797"
11/05/2025,"198.77","202.92","194.65","195.21","171,350,297"
11/04/2025,"203.00","203.97","197.93","198.69","188,919,297"
11/03/2025,"208.08","211.34","205.56","206.88","180,267,297"
10/31/2025,"206.45","207.97","202.07","202.49","179,802,203"
10/30/2025,"205.15","206.16","201.41","202.89","178,864,406"
10/29/2025,"207.98","212.19","204.78","207.04","308,829,594"
10/28/2025,"193.05","203.15","191.91","201.03","297,986,219"
10/27/2025,"189.99","192.00","188.43","191.49","153,452,703"
10/24/2025,"183.84","187.47","183.50","186.26","131,296,703"
10/23/2025,"180.42","183.03","179.79","182.16","111,363,695"
10/22/2025,"181.14","183.44","176.76","180.28","162,249,594"
10/21/2025,"182.79","182.79","179.80","181.16","124,240,203"
10/20/2025,"183.13","185.20","181.73","182.64","128,544,703"
10/17/2025,"180.18","184.10","179.75","183.22","173,135,203"
10/16/2025,"182.23","183.28","179.77","181.81","179,723,297"
10/15/2025,"184.80","184.87","177.29","179.83","214,450,500"
10/14/2025,"184.77","184.80","179.70","180.03","205,641,406"
10/13/2025,"187.97","190.11","185.96","188.32","153,482,797"
10/10/2025,"193.51","195.62","182.05","183.16","268,774,406"
10/09/2025,"192.23","195.30","191.06","192.57","182,997,203"
10/08/2025,"186.57","189.60","186.54","189.11","130,168,898"
10/07/2025,"186.23","189.06","184.00","185.04","140,088,000"
10/06/2025,"185.50","187.23","183.33","185.54","157,678,094"
10/03/2025,"189.19","190.36","185.38","187.62","137,596,891"
10/02/2025,"189.60","191.05","188.06","188.89","136,805,797"
10/01/2025,"185.24","188.14","183.90","187.24","173,844,891"
09/30/2025,"182.08","187.35","181.48","186.58","236,980,984"
09/29/2025,"180.43","184.00","180.32","181.85","193,063,500"
09/26/2025,"178.17","179.77","174.93","178.19","148,573,703"
09/25/2025,"174.48","180.26","173.13","177.69","191,586,703"
09/24/2025,"179.77","179.78","175.40","176.97","143,564,094"
09/23/2025,"181.97","182.42","176.21","178.43","192,559,594"
09/22/2025,"175.30","184.55","174.71","183.61","269,637,000"
09/19/2025,"175.77","178.08","175.18","176.67","237,182,094"
09/18/2025,"173.98","177.10","172.96","176.24","191,763,297"
09/17/2025,"172.64","173.20","168.41","170.29","211,843,812"
09/16/2025,"177.00","177.50","174.38","174.88","140,737,797"
09/15/2025,"175.67","178.85","174.51","177.75","147,061,594"
09/12/2025,"177.77","178.60","176.45","177.82","124,911,000"
09/11/2025,"179.68","180.28","176.48","177.17","151,159,297"
09/10/2025,"176.64","179.29","175.47","177.33","226,852,000"
09/09/2025,"169.09","170.98","166.74","170.76","157,548,406"
09/08/2025,"167.55","170.96","167.35","168.31","163,769,109"
09/05/2025,"168.03","169.03","164.07","167.02","224,441,406"
09/04/2025,"170.57","171.86","169.41","171.66","141,670,094"
09/03/2025,"171.06","172.41","168.88","170.62","164,424,891"
09/02/2025,"170.00","172.38","167.22","170.78","231,164,891"
08/29/2025,"178.11","178.15","173.15","174.18","243,257,906"
08/28/2025,"180.82","184.47","176.41","180.17","281,787,812"
08/27/2025,"181.98","182.49","179.10","181.60","235,518,891"
08/26/2025,"180.06","182.39","178.81","181.77","168,688,188"
08/25/2025,"178.35","181.91","176.57","179.81","163,012,797"
08/22/2025,"172.61","178.59","171.20","177.99","172,789,406"
08/21/2025,"174.85","176.90","173.81","174.98","140,040,891"
08/20/2025,"175.17","176.00","168.80","175.40","215,142,703"
08/19/2025,"182.43","182.50","175.49","175.64","185,229,203"
08/18/2025,"180.60","182.94","180.59","182.01","132,008,000"
08/15/2025,"181.88","181.90","178.04","180.45","156,602,203"
08/14/2025,"179.75","183.02","179.46","182.02","129,554,000"
08/13/2025,"182.62","183.97","179.35","181.59","179,871,703"
08/12/2025,"182.96","184.48","179.46","183.16","145,729,203"
08/11/2025,"182.05","183.84","180.25","182.06","138,323,203"
08/08/2025,"181.55","183.30","180.40","182.70","123,396,703"
08/07/2025,"181.57","183.88","178.80","180.77","151,878,406"
08/06/2025,"176.33","179.90","176.25","179.42","137,192,297"
08/05/2025,"179.62","180.26","175.90","178.26","156,407,594"
08/04/2025,"175.16","180.20","174.52","180.00","148,174,594"
08/01/2025,"174.09","176.54","170.89","173.72","204,528,984"
07/31/2025,"182.90","183.30","175.93","177.87","221,685,406"
07/30/2025,"176.51","179.89","176.04","179.27","174,312,188"
07/29/2025,"177.96","179.38","175.02","175.51","154,077,500"
07/28/2025,"174.02","177.00","173.97","176.75","140,023,500"
07/25/2025,"173.61","174.72","172.96","173.50","122,316,797"
07/24/2025,"172.44","173.83","171.30","173.74","128,984,602"
07/23/2025,"169.53","171.26","167.97","170.78","154,082,203"
07/22/2025,"171.34","171.39","164.58","167.03","193,114,297"
07/21/2025,"172.75","173.38","171.00","171.38","123,126,094"
07/18/2025,"173.64","174.25","171.26","172.41","146,456,406"
07/17/2025,"172.02","174.16","170.83","173.00","160,841,109"
07/16/2025,"171.06","171.75","168.90","171.37","158,831,500"
07/15/2025,"171.19","172.40","169.20","170.70","230,627,391"
07/14/2025,"165.37","165.49","162.02","164.07","136,975,812"
07/11/2025,"163.72","167.89","163.47","164.92","193,633,297"
07/10/2025,"164.32","164.50","161.61","164.10","167,704,094"
07/09/2025,"161.22","164.42","161.16","162.88","183,656,406"
07/08/2025,"159.33","160.22","158.39","160.00","138,132,984"
07/07/2025,"158.20","159.31","157.34","158.24","140,139,016"
07/03/2025,"158.37","160.98","157.77","159.34","143,716,094"
07/02/2025,"152.98","157.60","152.97","157.25","171,224,094"
07/01/2025,"156.29","157.20","151.49","153.30","213,143,594"
06/30/2025,"158.40","158.66","155.96","157.99","194,580,297"
06/27/2025,"156.04","158.71","155.26","157.75","263,234,500"
06/26/2025,"155.98","156.72","154.00","155.02","198,145,703"
06/25/2025,"149.27","154.45","149.26","154.31","269,146,500"
06/24/2025,"145.56","147.96","145.50","147.90","187,566,094"
06/23/2025,"142.50","144.78","142.03","144.17","154,308,891"
06/20/2025,"145.45","146.20","142.65","143.85","242,956,188"
06/18/2025,"144.01","145.65","143.12","145.48","161,494,094"
06/17/2025,"144.49","145.22","143.78","144.12","139,108,000"
06/16/2025,"143.35","146.18","143.20","144.69","183,133,703"
06/13/2025,"142.48","143.58","140.86","141.97","180,820,609"
06/12/2025,"141.97","145.00","141.85","145.00","162,364,984"
06/11/2025,"144.61","144.99","141.87","142.83","167,694,000"
06/10/2025,"142.69","144.29","141.53","143.96","155,881,906"
06/09/2025,"143.19","145.00","141.94","142.63","185,114,500"
06/06/2025,"142.51","143.27","141.51","141.72","153,986,203"
06/05/2025,"142.17","144.00","138.83","139.99","232,410,797"
06/04/2025,"142.19","142.39","139.55","141.92","167,120,797"
06/03/2025,"138.78","142.00","137.95","141.22","225,578,797"
06/02/2025,"135.49","138.12","135.40","137.38","197,663,109"
05/30/2025,"138.72","139.62","132.92","135.13","333,170,906"
05/29/2025,"142.25","143.49","137.91","139.19","370,615,188"
05/28/2025,"136.03","137.25","134.79","134.81","304,021,094"
05/27/2025,"134.15","135.66","133.31","135.50","192,953,594"
05/23/2025,"130.00","132.68","129.16","131.29","198,821,297"
05/22/2025,"132.23","134.25","131.55","132.83","187,344,000"
05/21/2025,"133.06","137.40","130.59","131.80","270,608,719"
05/20/2025,"134.29","134.58","132.62","134.38","161,514,203"
05/19/2025,"132.39","135.87","132.39","135.57","193,154,594"
05/16/2025,"136.22","136.35","133.46","135.40","226,542,500"
05/15/2025,"134.30","136.30","132.66","134.83","226,632,609"
05/14/2025,"133.20","135.44","131.68","135.34","281,180,812"
05/13/2025,"124.98","131.22","124.47","129.93","330,430,125"
05/12/2025,"121.97","123.00","120.28","123.00","225,023,297"
05/09/2025,"117.35","118.23","115.21","116.65","132,972,203"
05/08/2025,"118.25","118.68","115.85","117.37","198,428,094"
05/07/2025,"113.05","117.68","112.28","117.06","207,827,812"
05/06/2025,"111.48","114.74","110.82","113.54","158,525,594"
05/05/2025,"112.91","114.67","112.66","113.82","133,163,203"
05/02/2025,"114.18","115.40","113.37","114.50","190,194,797"
05/01/2025,"113.08","114.94","111.30","111.61","236,121,500"
04/30/2025,"104.47","108.92","104.08","108.92","235,044,609"
04/29/2025,"107.67","110.20","107.44","109.02","170,444,297"
04/28/2025,"109.69","110.37","106.02","108.73","207,708,500"
04/25/2025,"106.85","111.92","105.73","111.01","251,064,703"
04/24/2025,"103.48","106.54","103.11","106.43","220,815,016"
04/23/2025,"104.52","104.80","102.02","102.71","247,526,000"
04/22/2025,"98.78","99.81","97.28","98.89","241,004,797"
04/21/2025,"98.77","99.44","95.04","96.91","288,501,094"
04/17/2025,"104.45","104.47","100.05","101.49","292,517,500"
04/16/2025,"104.55","106.79","100.45","104.49","397,016,906"
04/15/2025,"110.97","113.62","110.50","112.20","228,966,891"
04/14/2025,"114.11","114.29","109.07","110.71","264,705,000"
04/11/2025,"108.50","111.55","107.48","110.93","313,417,312"
04/10/2025,"109.37","110.86","99.15","107.57","437,812,406"
04/09/2025,"98.89","115.10","97.53","114.33","612,918,250"
04/08/2025,"103.81","105.85","94.46","96.30","476,243,406"
04/07/2025,"87.46","101.75","86.62","97.64","611,041,250"
04/04/2025,"98.91","100.13","92.11","94.31","532,273,812"
04/03/2025,"103.51","105.63","101.60","101.80","338,769,406"
04/02/2025,"107.29","111.98","106.79","110.42","220,601,203"
04/01/2025,"108.52","110.20","106.47","110.15","222,614,000"
03/31/2025,"105.13","110.96","103.65","108.38","299,212,719"
03/28/2025,"111.49","112.87","109.07","109.67","229,872,500"
03/27/2025,"111.35","114.45","110.66","111.43","236,902,094"
03/26/2025,"118.73","118.84","112.71","113.76","296,431,719"
03/25/2025,"120.55","121.29","118.92","120.69","167,447,203"
03/24/2025,"119.88","122.22","119.34","121.41","228,452,500"
03/21/2025,"116.94","117.99","115.42","117.70","266,498,500"
03/20/2025,"116.55","120.20","116.47","118.53","248,829,703"
03/19/2025,"117.27","120.45","115.68","117.52","273,426,219"
03/18/2025,"118.00","119.02","114.54","115.43","299,686,906"
03/17/2025,"122.74","122.89","118.03","119.53","255,501,500"
03/14/2025,"118.61","121.88","118.15","121.67","277,593,500"
03/13/2025,"117.03","117.76","113.79","115.58","299,033,094"
03/12/2025,"114.12","116.76","112.88","115.74","323,857,500"
03/11/2025,"106.99","112.24","104.77","108.76","354,865,688"
03/10/2025,"109.90","111.85","105.46","106.98","366,487,406"
03/07/2025,"111.25","113.48","107.56","112.69","341,755,500"
03/06/2025,"113.53","115.35","110.22","110.57","321,181,875"
03/05/2025,"117.58","118.28","114.51","117.30","284,337,875"
03/04/2025,"110.65","119.31","110.11","115.99","398,163,281"
03/03/2025,"123.51","123.70","112.28","114.06","411,381,406"
02/28/2025,"118.02","125.09","116.40","124.92","389,091,094"
02/27/2025,"135.00","135.01","120.01","120.15","443,175,812"
02/26/2025,"129.99","133.73","128.49","131.28","322,553,781"
02/25/2025,"129.98","130.20","124.44","126.63","271,428,719"
02/24/2025,"136.56","138.59","130.08","130.28","251,381,109"
02/21/2025,"140.04","141.46","134.03","134.43","228,217,594"
02/20/2025,"140.03","140.66","136.79","140.11","143,903,594"
02/19/2025,"139.51","141.36","137.22","139.23","167,536,000"
02/18/2025,"141.27","143.44","137.93","139.40","219,176,609"
02/14/2025,"136.48","139.25","135.50","138.85","195,479,594"
02/13/2025,"131.56","136.50","131.17","135.29","197,430,000"
02/12/2025,"130.02","132.24","129.08","131.14","160,278,594"
02/11/2025,"132.58","134.48","131.02","132.80","178,902,406"
02/10/2025,"130.09","135.00","129.96","133.57","216,989,109"
02/07/2025,"129.22","130.37","125.00","129.84","228,186,297"
02/06/2025,"127.42","128.77","125.21","128.68","251,483,594"
02/05/2025,"121.76","125.00","120.76","124.83","263,110,594"
02/04/2025,"116.96","121.20","116.70","118.65","256,550,000"
02/03/2025,"114.75","118.57","113.01","116.66","371,235,719"
01/31/2025,"123.78","127.85","119.19","120.07","390,372,906"
01/30/2025,"123.10","125.00","118.10","124.65","392,925,500"
01/29/2025,"126.50","126.89","120.05","123.70","467,120,594"
01/28/2025,"121.81","129.00","116.25","128.99","579,666,438"
01/27/2025,"124.80","128.40","116.70","118.42","818,830,938"
01/24/2025,"148.37","148.97","141.88","142.62","234,657,594"
01/23/2025,"145.05","147.23","143.72","147.22","155,915,500"
01/22/2025,"144.66","147.79","143.67","147.07","237,651,391"
01/21/2025,"139.16","141.83","137.09","140.83","197,748,984"
01/17/2025,"136.69","138.50","135.46","137.71","201,188,797"
01/16/2025,"138.64","138.75","133.49","133.57","209,235,594"
01/15/2025,"133.65","136.45","131.29","136.24","185,217,297"
01/14/2025,"136.05","136.38","130.05","131.76","195,590,500"
01/13/2025,"129.99","133.49","129.51","133.23","204,808,891"
01/10/2025,"137.45","139.92","134.22","135.91","207,602,500"
01/08/2025,"142.58","143.95","137.56","140.11","227,349,906"
01/07/2025,"153.03","153.13","140.01","140.14","351,782,219"
01/06/2025,"148.59","152.16","147.82","149.43","265,377,406"
01/03/2025,"140.01","144.90","139.73","144.47","229,322,500"
01/02/2025,"136.00","138.88","134.63","138.31","198,247,203"
